Title,Year,Scopus Source title,Citations,DOI,Journal title,OA model
Perturbation-evoked potentials: Significance and application in balance control research,2017,Neuroscience and Biobehavioral Reviews,2,10.1016/j.neubiorev.2017.10.022,Neuroscience and Biobehavioral Reviews,Hybrid
Examination of Mode i Loading on Resistance Spot Weld Groups in Tailored Hot Stampings,2017,Procedia Engineering,2,10.1016/j.proeng.2017.08.107,Procedia Engineering,Open Access
Analysis of the hot deformation of ZK60 magnesium alloy,2017,Journal of Magnesium and Alloys,2,10.1016/j.jma.2017.09.002,Journal of Magnesium and Alloys,Open Access
Inference for the autocovariance of a functional time series under conditional heteroscedasticity,2017,Journal of Multivariate Analysis,2,10.1016/j.jmva.2017.08.004,Journal of Multivariate Analysis,Hybrid
Effect of modulus of elasticity and thickness of the CFRP plate on the performance of a novel anchor for structural retrofitting and rehabilitation applications,2017,Engineering Structures,2,10.1016/j.engstruct.2017.09.057,Engineering Structures,Hybrid
Influence of dual-tasking with different levels of attention diversion on characteristics of the movement-related cortical potential,2017,Brain Research,2,10.1016/j.brainres.2017.08.016,Brain Research,Hybrid
How “ought” exceeds but implies “can”: Description and encouragement in moral judgment,2017,Cognition,2,10.1016/j.cognition.2017.07.008,Cognition,Hybrid
Competition between injunctive social norms and conservation priorities gives rise to complex dynamics in a model of forest growth and opinion dynamics,2017,Journal of Theoretical Biology,2,10.1016/j.jtbi.2017.07.029,Journal of Theoretical Biology,Hybrid
Nutrient and mercury transport in a sub-arctic ladder fen peatland subjected to simulated wastewater discharges,2017,Science of the Total Environment,2,10.1016/j.scitotenv.2017.07.225,Science of the Total Environment,Hybrid
Urban morphology and local citizens in China's historic neighborhoods: A case study of the Stele Forest Neighborhood in Xi'an,2017,Cities,2,10.1016/j.cities.2017.07.018,Cities,Hybrid
The Acute Effects of Aerobic Exercise on Cognitive Control among People with Chronic Stroke,2017,Journal of Stroke and Cerebrovascular Diseases,2,10.1016/j.jstrokecerebrovasdis.2017.06.050,Journal of Stroke and Cerebrovascular Diseases,Hybrid
The intergenerational transmission of perfectionism: Fathers' other-oriented perfectionism and daughters' perceived psychological control uniquely predict daughters' self-critical and personal standards perfectionism,2017,Personality and Individual Differences,2,10.1016/j.paid.2017.07.030,Personality and Individual Differences,Hybrid
Inflationary universe in the presence of a minimal measurable length,2017,Annals of Physics,2,10.1016/j.aop.2017.08.008,Annals of Physics,Hybrid
Effects of coupling anisotropic yield functions with the optimization process of extruded aluminum front rail geometries in crashworthiness,2017,International Journal of Solids and Structures,2,10.1016/j.ijsolstr.2017.08.026,International Journal of Solids and Structures,Hybrid
A mechanistic damage model for ligaments,2017,Journal of Biomechanics,2,10.1016/j.jbiomech.2017.06.039,Journal of Biomechanics,Hybrid
3D finite element investigation of the compressive membrane action effect in reinforced concrete flat slabs,2017,Engineering Structures,2,10.1016/j.engstruct.2017.01.024,Engineering Structures,Hybrid
Modelling and performance analysis of TCP variants for data collection in smart power grids,2017,Computer Communications,2,10.1016/j.comcom.2016.12.018,Computer Communications,Hybrid
Acute changes in knee cartilage transverse relaxation time after running and bicycling,2017,Journal of Biomechanics,2,10.1016/j.jbiomech.2017.01.017,Journal of Biomechanics,Hybrid
Computing minimal interpolation bases,2017,Journal of Symbolic Computation,2,10.1016/j.jsc.2016.11.015,Journal of Symbolic Computation,Hybrid
"Stooping, crouching, and standing – Characterizing balance control strategies across postures",2017,Journal of Biomechanics,2,10.1016/j.jbiomech.2017.01.003,Journal of Biomechanics,Hybrid
Improving sustainable office building operation by using historical data and linear models to predict energy usage,2017,Sustainable Cities and Society,2,10.1016/j.scs.2016.12.001,Sustainable Cities and Society,Hybrid
Impact of residue addition on soil nitrogen dynamics in intercrop and sole crop agroecosystems,2017,Geoderma,2,10.1016/j.geoderma.2016.11.023,Geoderma,Hybrid
Examining nitrogen dynamics in the unsaturated zone under an inactive cesspit using chemical tracers and environmental isotopes,2017,Applied Geochemistry,2,10.1016/j.apgeochem.2016.12.022,Applied Geochemistry,Hybrid
Novel affinity membranes with macrocyclic spacer arms synthesized via click chemistry for lysozyme binding,2017,Journal of Hazardous Materials,2,10.1016/j.jhazmat.2016.12.047,Journal of Hazardous Materials,Hybrid
Preventing damage: The psychology of crisis communication buffers in organized sports,2017,Public Relations Review,2,10.1016/j.pubrev.2016.12.002,Public Relations Review,Hybrid
Lumped element modeling of air-coupled capacitive micromachined ultrasonic transducers with annular cell geometry,2017,Ultrasonics,2,10.1016/j.ultras.2016.11.014,Ultrasonics,Hybrid
Existing equations to estimate lean body mass are not accurate in the critically ill: Results of a multicenter observational study,2017,Clinical Nutrition,2,10.1016/j.clnu.2016.09.013,Clinical Nutrition,Hybrid
Multi-plume sprays interacting with subsonic compressible gas jets,2017,Applied Energy,2,10.1016/j.apenergy.2017.01.008,Applied Energy,Hybrid
Characterization of UF foulants and fouling mechanisms when applying low in-line coagulant pre-treatment,2017,Water Research,2,10.1016/j.watres.2017.08.064,Water Research,Hybrid
Using tree ring analysis to determine impacts of a road on a boreal peatland,2017,Forest Ecology and Management,2,10.1016/j.foreco.2017.08.007,Forest Ecology and Management,Hybrid
Comparative study of transient hydraulic tomography with varying parameterizations and zonations: Laboratory sandbox investigation,2017,Journal of Hydrology,2,10.1016/j.jhydrol.2017.09.045,Journal of Hydrology,Hybrid
Experimental study of flow through compressor Cascade,2017,Case Studies in Thermal Engineering,2,10.1016/j.csite.2017.05.002,Case Studies in Thermal Engineering,Open Access
A hybrid clustering approach for multivariate time series – A case study applied to failure analysis in a gas turbine,2017,ISA Transactions,2,10.1016/j.isatra.2017.09.004,ISA Transactions,Hybrid
Clinical characteristics and patterns of health deficits of centenarians receiving home care and long-term care services,2017,Experimental Gerontology,2,10.1016/j.exger.2017.09.010,Experimental Gerontology,Hybrid
Autobiographical and episodic memory deficits in mild traumatic brain injury,2017,Brain and Cognition,1,10.1016/j.bandc.2016.11.004,Brain and Cognition,Hybrid
Are high lags of accommodation in myopic children due to motor deficits?,2017,Vision Research,1,10.1016/j.visres.2016.11.001,Vision Research,Hybrid
Can the Functional Movement Screen™ be used to capture changes in spine and knee motion control following 12 weeks of training?,2017,Physical Therapy in Sport,1,10.1016/j.ptsp.2016.06.003,Physical Therapy in Sport,Hybrid
Face coloring in unstructured CFD codes,2017,Parallel Computing,1,10.1016/j.parco.2017.04.001,Parallel Computing,Hybrid
DNA analysis of human skeletal remains from the 1845 Franklin expedition,2017,Journal of Archaeological Science: Reports,1,10.1016/j.jasrep.2017.03.041,Journal of Archaeological Science: Reports,Hybrid
Global motion perception is related to motor function in 4.5-year-old children born at risk of abnormal development,2017,Vision Research,1,10.1016/j.visres.2017.04.005,Vision Research,Hybrid
On the role of extensional rheology and Deborah number on the neck-in phenomenon during flat film casting,2017,International Journal of Heat and Mass Transfer,1,10.1016/j.ijheatmasstransfer.2017.04.081,International Journal of Heat and Mass Transfer,Hybrid
Comparative study between Conditional Moment Closure (CMC) and Conditional Source-term Estimation (CSE) applied to piloted jet flames,2017,Combustion and Flame,1,10.1016/j.combustflame.2017.03.022,Combustion and Flame,Hybrid
Modeling controls on the chemical weathering of marine mudrocks from the Middle Jurassic in Southern Germany,2017,Chemical Geology,1,10.1016/j.chemgeo.2017.03.021,Chemical Geology,Hybrid
Solvent presence and its impact on the lap-shear strength of SDS-decorated graphene hybrid electrically conductive adhesives,2017,International Journal of Adhesion and Adhesives,1,10.1016/j.ijadhadh.2017.06.012,International Journal of Adhesion and Adhesives,Hybrid
TCAM space-efficient routing in a software defined network,2017,Computer Networks,1,10.1016/j.comnet.2017.06.020,Computer Networks,Hybrid
The effect of hydrogen peroxide produced during ultraviolet disinfection of CHO cell culture media,2017,Process Biochemistry,1,10.1016/j.procbio.2017.06.025,Process Biochemistry,Hybrid
Spectral and structural properties of random interdependent networks,2017,Automatica,1,10.1016/j.automatica.2017.06.024,Automatica,Hybrid
"Vibration of lightweight steel floor systems with occupants: Modelling, formulation and dynamic properties",2017,Engineering Structures,1,10.1016/j.engstruct.2017.06.008,Engineering Structures,Hybrid
Vitrification during cure produces anomalies and path-dependence in electrical resistance of conductive composites,2017,Composites Science and Technology,1,10.1016/j.compscitech.2017.06.011,Composites Science and Technology,Hybrid
Components of Standing Postural Control Evaluated in Pediatric Balance Measures: A Scoping Review,2017,Archives of Physical Medicine and Rehabilitation,1,10.1016/j.apmr.2017.02.032,Archives of Physical Medicine and Rehabilitation,Hybrid
Information asymmetry and risk transfer markets,2017,Journal of Financial Intermediation,1,10.1016/j.jfi.2017.05.003,Journal of Financial Intermediation,Hybrid
Detecting and modelling structures on the micro and the macro scales: Assessing their effects on solute transport behaviour,2017,Advances in Water Resources,1,10.1016/j.advwatres.2017.05.007,Advances in Water Resources,Hybrid
Assessing the efficacy of imagery-enhanced cognitive behavioral group therapy for social anxiety disorder: Study protocol for a randomized controlled trial,2017,Contemporary Clinical Trials,1,10.1016/j.cct.2017.06.010,Contemporary Clinical Trials,Hybrid
A regulated boosting technique for material fatigue property prognostics,2017,Engineering Applications of Artificial Intelligence,1,10.1016/j.engappai.2016.09.011,Engineering Applications of Artificial Intelligence,Hybrid
On acyclic edge-coloring of complete bipartite graphs,2017,Discrete Mathematics,1,10.1016/j.disc.2016.08.026,Discrete Mathematics,Hybrid
Development of a microbial test suite and data integration method for assessing microbial health of contaminated soil,2017,Journal of Microbiological Methods,1,10.1016/j.mimet.2017.10.004,Journal of Microbiological Methods,Hybrid
"Alternative medicine, worker health, and absenteeism in the United States",2017,Complementary Therapies in Medicine,1,10.1016/j.ctim.2016.11.003,Complementary Therapies in Medicine,Hybrid
State estimation of neural networks with two Markovian jumping parameters and multiple time delays,2017,Journal of the Franklin Institute,1,10.1016/j.jfranklin.2016.10.035,Journal of the Franklin Institute,Hybrid
"Lake whitefish (Coregonus clupeaformis) energy and nutrient partitioning in lakes Michigan, Erie and Superior",2017,Journal of Great Lakes Research,1,10.1016/j.jglr.2016.10.007,Journal of Great Lakes Research,Hybrid
A single aerobic exercise session accelerates movement execution but not central processing,2017,Neuroscience,1,10.1016/j.neuroscience.2017.01.020,Neuroscience,Hybrid
