DOI,publisher,is-referenced-by-count,container-title,subject
10.4153/cjm-2013-044-0,Canadian Mathematical Society,0,Canadian Journal of Mathematics,General Mathematics
10.7151/dmgt.1732,"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora",0,Discussiones Mathematicae Graph Theory,
10.1371/journal.pone.0121066,Public Library of Science (PLoS),1,PLOS ONE,
10.1155/2014/642949,Hindawi Limited,2,Mathematical Problems in Engineering,
10.3842/sigma.2016.117,"SIGMA (Symmetry, Integrability and Geometry: Methods and Application)",1,"Symmetry, Integrability and Geometry: Methods and Applications",
10.3390/agriculture7070054,MDPI AG,2,Agriculture,
10.1038/srep46708,Springer Science and Business Media LLC,5,Scientific Reports,Multidisciplinary
10.1155/2017/4826385,Hindawi Limited,2,International Journal of Biomedical Imaging,
10.7561/sacs.2016.1.69,Scientific Annals of Computer Science,0,Scientific Annals of Computer Science,
10.3389/fncom.2014.00132,Frontiers Media SA,1,Frontiers in Computational Neuroscience,
10.1186/s12954-017-0143-4,Springer Nature,5,Harm Reduction Journal,
10.1080/17458080.2015.1083126,Informa UK Limited,2,Journal of Experimental Nanoscience,
10.3390/app7050503,MDPI AG,0,Applied Sciences,
10.1103/physrevmaterials.1.044406,American Physical Society (APS),1,Physical Review Materials,
10.1016/j.procs.2015.08.423,Elsevier BV,3,Procedia Computer Science,
10.1016/j.comgeo.2012.02.008,Elsevier BV,0,Computational Geometry,Computational Theory and Mathematics;Geometry and Topology;Control and Optimization;Computational Mathematics;Computer Science Applications
10.1016/j.jctb.2015.12.005,Elsevier BV,1,"Journal of Combinatorial Theory, Series B",Theoretical Computer Science;Computational Theory and Mathematics;Discrete Mathematics and Combinatorics
10.1111/1911-3846.12245,Wiley,8,Contemporary Accounting Research,
10.1186/s13690-017-0222-8,Springer Nature,3,Archives of Public Health,
10.1016/j.dib.2016.03.032,Elsevier BV,1,Data in Brief,Multidisciplinary
10.5770/cgj.20.238,Canadian Geriatrics Society,0,Canadian Geriatrics Journal,
10.1038/srep38981,Springer Science and Business Media LLC,3,Scientific Reports,Multidisciplinary
10.1155/2015/647510,Hindawi Limited,0,BioMed Research International,
10.1039/c5em90021b,Royal Society of Chemistry (RSC),1,Environmental Science: Processes & Impacts,
10.1039/c7ra01575e,Royal Society of Chemistry (RSC),2,RSC Advances,
10.1155/2013/198434,Hindawi Limited,3,Advances in Materials Science and Engineering,
10.5888/pcd10.120107,Centers for Disease Control and Prevention (CDC),0,Preventing Chronic Disease,
10.3233/aac-170028,IOS Press,1,Argument & Computation,
10.3389/fphys.2016.00362,Frontiers Media SA,2,Frontiers in Physiology,
10.5194/amt-10-3273-2017,Copernicus GmbH,1,Atmospheric Measurement Techniques,
10.3846/13923730.2014.893905,Vilnius Gediminas Technical University,2,Journal of Civil Engineering and Management,
10.1007/s00221-016-4721-6,Springer Nature,2,Experimental Brain Research,
10.3233/aac-170030,IOS Press,0,Argument & Computation,
10.1038/s41598-017-17236-x,Springer Nature,4,Scientific Reports,
10.1117/12.2223062,SPIE,0,Education and Training in Optics and Photonics: ETOP 2015,
10.1177/2158244015580972,SAGE Publications,2,SAGE Open,
10.1063/1.4996866,AIP Publishing,3,Journal of Applied Physics,
